index,mtx,pixel_gflops
505,1098_saylr4.mtx,0.932342
506,0623_rajat19.mtx,0.872208
507,2528_xenon2.mtx,14.601116
508,0517_steam1.mtx,1.178743
509,1543_lhr04c.mtx,10.011328
510,2147_heart2.mtx,210.180703
511,0361_shl_200.mtx,0.053867
512,2498_pkustk08.mtx,23.450032
513,0671_fpga_dcop_12.mtx,0.508391
514,2533_barrier2-9.mtx,1.008110
515,1253_wb-cs-stanford.mtx,1.987723
516,2077_ford2.mtx,4.218999
517,1701_mplate.mtx,7.614970
518,0477_bcsstk20.mtx,0.504725
519,2182_lhr34.mtx,30.378566
520,1696_cavity19.mtx,23.406120
521,2761_ss.mtx,9.476583
522,1105_sherman2.mtx,4.363093
523,2450_poisson3Db.mtx,0.062914
524,2419_bcsstk32.mtx,77.713181
525,0569_tumorAntiAngiogenesis_4.mtx,1.686633
526,1168_bayer06.mtx,2.215803
527,2640_gearbox.mtx,50.343278
528,2787_boneS10.mtx,58.837035
529,2057_c-66.mtx,16.107455
530,2021_ncvxqp5.mtx,2.338059
531,2407_conf5_4-8x8-15.mtx,36.782382
532,0363_CSphd.mtx,0.020413
533,1179_ca-GrQc.mtx,0.093533
534,1292_G29.mtx,0.434541
535,0414_lund_a.mtx,0.800752
536,1821_lowThrust_8.mtx,66.739168
537,0780_diag.mtx,0.526495
538,1558_fv2.mtx,5.140139
539,1949_graham1.mtx,27.614904
540,1341_nopss_11k.mtx,0.789218
541,0929_freeFlyingRobot_2.mtx,1.735222
542,1231_G61.mtx,0.040944
543,2036_ex40.mtx,35.788870
544,0805_iprob.mtx,20.161074
545,1891_mark3jac100sc.mtx,1.528432
546,1142_dwt_2680.mtx,2.188468
547,2231_sx-superuser.mtx,0.213833
548,1926_cegb2919.mtx,77.437705
549,2290_struct3.mtx,46.808897
550,1994_nemeth02.mtx,71.728273
551,2116_finan512.mtx,3.531956
552,0103_GD96_c.mtx,0.027616
553,1614_mhd4800a.mtx,18.971776
554,2601_TEM152078.mtx,23.859675
555,2531_barrier2-11.mtx,1.007000
556,1613_c-41.mtx,8.062677
557,0863_adder_dcop_19.mtx,3.875289
558,1628_barth5(0).mtx,0.599301
559,1235_bips98_606.mtx,0.690011
560,1040_wang2.mtx,1.666329
561,1914_lhr14c.mtx,22.335549
562,0754_dwt_878.mtx,1.073433
563,2504_m14b.mtx,0.268322
564,2145_ex3sta1(0).mtx,8.175263
565,2403_loc-Gowalla.mtx,0.335204
566,1316_dw8192.mtx,1.880388
567,1560_t2d_q4.mtx,5.191712
568,0998_spaceStation_5.mtx,1.568580
569,2162_Pres_Poisson.mtx,43.641199
570,1119_hydr1c.mtx,0.849840
571,1348_g7jac020sc.mtx,0.695158
572,2496_cnr-2000.mtx,12.693682
573,1356_bcsstm39.mtx,0.243604
574,1936_fe_body.mtx,4.250084
575,1682_c-39.mtx,16.388303
576,0658_fpga_dcop_41.mtx,0.502925
577,1242_soc-sign-bitcoin-otc.mtx,0.370938
578,2237_wa2010.mtx,0.461736
579,1671_aft02.mtx,10.756068
580,1042_ex21.mtx,5.625538
581,1166_mhd4800b.mtx,3.789806
582,1789_obstclae.mtx,3.569045
583,1938_shallow_water2.mtx,6.898526
584,2782_dielFilterV2real.mtx,4.821391
585,1554_kineticBatchReactor_8.mtx,28.542043
586,0227_GD00_c.mtx,0.054892
587,2697_af_4_k101.mtx,89.117197
588,0891_adder_dcop_59.mtx,3.975308
589,1244_c-24.mtx,4.013539
590,0091_can_62.mtx,0.021842
591,0773_G34.mtx,0.542373
592,0909_adder_dcop_55.mtx,3.908072
593,0971_uk.mtx,0.357973
594,1193_plbuckle.mtx,7.445451
595,2374_Zd_Jac6.mtx,31.641180
596,1209_reorientation_3.mtx,14.197251
597,0262_S10PI_n1.mtx,0.049161
598,2767_inline_1.mtx,32.009490
599,2577_Chebyshev4.mtx,19.234659
600,1952_gyro_m.mtx,1.914796
601,0681_fpga_dcop_27.mtx,0.513978
602,1173_G62.mtx,1.148718
603,0201_bwm200.mtx,0.080304
604,0648_fpga_dcop_50.mtx,0.477265
605,1077_circuit_2.mtx,6.117236
606,2674_hugetrace-00000.mtx,1.330102
607,0292_oscil_dcop_14.mtx,0.108403
608,1778_mult_dcop_01.mtx,18.930514
609,0008_b1_ss.mtx,0.001650
610,0952_Kohonen.mtx,0.073087
611,2133_rajat16.mtx,18.092401
612,0403_netz4504_dual.mtx,0.191915
613,0986_hangGlider_2.mtx,8.439230
614,2491_pkustk03.mtx,65.733974
615,0329_oscil_dcop_34.mtx,0.109322
616,1896_g7jac080.mtx,0.795295
617,1411_c-32.mtx,31.698493
618,1347_g7jac020.mtx,0.704586
619,1586_linverse.mtx,6.470763
620,1939_lpl1.mtx,0.848395
621,2210_g7jac200.mtx,0.856422
622,1684_ACTIVSg10K.mtx,0.542469
623,0919_adder_dcop_45.mtx,3.867192
624,0653_fpga_dcop_43.mtx,0.513978
625,1798_c-51.mtx,5.603873
626,1632_c-42.mtx,25.526016
627,1224_gemat12.mtx,0.599930
628,0869_adder_dcop_57.mtx,3.835100
629,1421_bcsstk27.mtx,16.611272
630,2349_nemeth26.mtx,365.920347
631,1161_qc324.mtx,26.893976
632,2561_s3dkq4m2.mtx,225.452714
633,0933_G53.mtx,0.684098
634,2002_mark3jac140.mtx,1.724976
635,1869_tandem_vtx.mtx,2.132415
636,1996_nemeth06.mtx,76.455818
637,2292_xenon1.mtx,14.256795
638,1680_bodyy6.mtx,3.614234
639,1016_rbsa480.mtx,2.658865
640,1676_c-46.mtx,17.027402
641,1831_lowThrust_9.mtx,67.915583
642,2378_fem_filter.mtx,25.438589
643,1679_mycielskian11.mtx,19.885606
644,1783_skirt.mtx,6.020452
645,2532_barrier2-12.mtx,1.009417
646,0662_fpga_dcop_33.mtx,0.470070
647,1004_ukerbe1.mtx,0.363442
648,1584_epb1.mtx,3.864550
649,1314_Lederberg.mtx,0.099491
650,0683_fpga_dcop_17.mtx,0.516818
651,1151_cz2548.mtx,2.152995
652,0640_fpga_dcop_06.mtx,0.498032
653,2148_heart3.mtx,210.910135
654,1048_spaceStation_9.mtx,2.118230
655,1668_memplus.mtx,9.061152
656,0488_dwt_346.mtx,0.680717
657,2160_Zd_Jac3_db.mtx,34.799622
658,0802_EPA.mtx,0.086297
659,2048_c-59.mtx,3.494656
660,2234_kim1.mtx,31.532528
661,1018_add20.mtx,1.376406
662,1122_geom.mtx,0.116375
663,1310_bips98_1142.mtx,0.820256
664,1299_G31.mtx,0.473703
665,2190_vsp_mod2_pgp2_slptsk.mtx,1.054507
666,2456_nv1.mtx,0.308820
667,0964_power.mtx,0.141817
668,2081_e40r0100.mtx,18.528360
669,2176_g7jac180sc.mtx,0.858077
670,0744_jagmesh3.mtx,0.631937
671,2483_stomach.mtx,4.555959
672,1057_G57.mtx,0.919540
673,0429_rdb450.mtx,0.313600
674,2759_3Dspectralwave.mtx,4.530194
