index,mtx,m,n,nnz,right-n,pixel_gflops
1422,0943_can_1054.mtx,1054,1054,12196,8,9.757
1423,2629_bibd_20_10.mtx,190,184756,8314020,8,176.425
1424,0729_can_634.mtx,634,634,7228,8,6.425
1425,2462_ch7-9-b5.mtx,423360,317520,2540160,8,76.829
1426,0240_saylr1.mtx,238,238,1128,8,1.641
1427,0795_lshp1270.mtx,1270,1270,8668,8,5.334
1428,1736_OPF_3754.mtx,15435,15435,158273,8,58.892
1429,0358_IG5-8.mtx,156,292,1711,8,1.369
1430,0663_fpga_dcop_02.mtx,1220,1220,5892,8,4.489
1431,1780_c-50.mtx,22401,22401,193625,8,52.508
1432,2225_ar2010.mtx,186211,186211,904310,8,29.65
1433,1133_mcfe.mtx,765,765,24382,8,15.004
1434,1239_rail_5177.mtx,5177,5177,35185,8,26.808
1435,1697_rail_20209.mtx,20209,20209,139233,8,53.041
1436,2311_c-73.mtx,169422,169422,1279274,8,93.463
1437,1582_lp_nug15.mtx,6330,22275,94950,8,23.372
1438,0843_lp_czprob.mtx,929,3562,10708,8,5.711
1439,0308_oscil_dcop_45.mtx,430,430,1544,8,1.544
1440,1518_cavity15.mtx,2597,2597,76367,8,34.911
1441,0556_ch6-6-b5.mtx,720,4320,4320,8,2.56
1442,1885_s1rmq4m1.mtx,5489,5489,281111,8,99.951
1443,2492_delaunay_n19.mtx,524288,524288,3145646,8,74.896
1444,1517_cavity11.mtx,2597,2597,76367,8,42.134
1445,0975_yeast.mtx,2361,2361,13828,8,11.645
1446,1594_msc04515.mtx,4515,4515,97707,8,60.127
1447,0042_rgg010.mtx,10,10,76,8,0.135
1448,1029_mhd3200b.mtx,3200,3200,18316,8,22.543
1449,1127_model3.mtx,1609,4578,23974,8,10.367
1450,2795_Geo_1438.mtx,1437960,1437960,63156690,8,166.476
1451,2569_mono_500Hz.mtx,169410,169410,5036288,8,65.513
1452,2625_ship_003.mtx,121728,121728,8086034,8,186.96
1453,1733_lhr07.mtx,7337,7337,156508,8,59.622
1454,2653_Si87H76.mtx,240369,240369,10661631,8,130.119
1455,1303_G67.mtx,10000,10000,40000,8,40.0
1456,0061_ibm32.mtx,32,32,126,8,0.202
1457,1925_bcsstm36.mtx,23052,23052,320606,8,75.437
1458,0002_Trec3.mtx,1,2,1,8,0.002
1459,2673_JP.mtx,87616,67320,13734559,8,73.916
1460,1923_rgg_n_2_15_s0.mtx,32768,32768,320480,8,60.326
1461,2425_neos3.mtx,512209,518832,2055024,8,102.751
1462,2676_italy_osm.mtx,6686493,6686493,14027956,8,66.503
1463,0010_ch3-3-b2.mtx,6,18,18,8,0.029
1464,1329_freeFlyingRobot_13.mtx,5718,5718,43994,8,27.073
1465,2134_rajat17.mtx,94294,94294,641159,8,67.049
1466,1349_model4.mtx,1337,4962,45753,8,11.807
1467,2707_af_shell3.mtx,504855,504855,17588875,8,190.665
1468,0748_fpga_trans_02.mtx,1220,1220,7382,8,4.218
1469,2502_bibd_19_9.mtx,171,92378,3325608,8,165.762
1470,2720_rajat31.mtx,4690002,4690002,20316253,8,62.38
1471,1721_bloweya.mtx,30004,30004,150009,8,63.162
1472,1425_ch8-8-b2.mtx,18816,1568,56448,8,36.127
1473,0164_west0167.mtx,167,167,507,8,0.477
1474,1331_Franz5.mtx,7382,2882,44056,8,35.245
1475,0818_G18.mtx,800,800,9388,8,7.51
1476,0968_lp_fit1d.mtx,24,1049,13427,8,5.24
