index,mtx,m,n,nnz,cusparse,pixel_time,pixel_gflops
2329,1727_192bit.mtx,13691,13682,154303,0.000,0.052,5.885
2330,0030_cage4.mtx,9,9,49,0.000,0.003,0.037
2331,2135_tomographic1.mtx,73159,59498,647495,0.000,0.114,11.390
2332,2626_degme.mtx,185501,659415,8127528,0.000,0.474,34.322
2333,2452_Delor295K.mtx,295734,1823928,2401323,0.000,0.231,20.831
2334,0987_blckhole.mtx,2132,2132,14872,0.000,0.005,5.489
2335,1056_olm5000.mtx,5000,5000,19996,0.000,0.004,10.063
2336,1808_coater2.mtx,9540,9540,207308,0.000,0.011,37.948
2337,1408_ncvxqp9.mtx,16554,16554,54040,0.000,0.010,10.976
2338,0221_cis-n4c6-b15.mtx,60,920,960,0.000,0.005,0.364
2339,2783_delaunay_n23.mtx,8388608,8388608,50331568,0.000,4.790,21.015
2340,2367_qa8fm.mtx,66127,66127,1660579,0.000,0.060,55.773
2341,2257_dawson5.mtx,51537,51537,1010777,0.000,0.041,49.001
2342,0310_oscil_dcop_09.mtx,430,430,1544,0.000,0.004,0.686
2343,1534_relat7b.mtx,21924,1045,81355,0.000,0.016,10.082
2344,1651_conf6_0-4x4-30.mtx,3072,3072,119808,0.000,0.006,41.643
2345,2336_NotreDame_actors.mtx,392400,127823,1470404,0.000,0.567,5.189
2346,0796_EX2(0).mtx,560,560,8736,0.000,0.005,3.435
2347,0296_oscil_dcop_16.mtx,430,430,1544,0.000,0.004,0.686
2348,0912_adder_dcop_37.mtx,1813,1813,11246,0.000,0.007,3.124
2349,2328_nc2010.mtx,288987,288987,1416620,0.000,0.497,5.704
2350,1407_ex36.mtx,3079,3079,53843,0.000,0.007,15.255
2351,0808_goddardRocketProblem_2.mtx,867,867,9058,0.000,0.006,2.902
2352,1138_deter6.mtx,4255,12113,24771,0.000,0.013,3.782
2353,1809_lowThrust_6.mtx,16928,16928,207349,0.000,0.013,30.945
2354,1568_big_dual.mtx,30269,30269,89858,0.000,0.018,9.901
2355,0564_NotreDame_yeast.mtx,2114,2114,4480,0.000,0.005,1.679
2356,2530_barrier2-10.mtx,115625,115625,3897557,0.000,0.386,20.199
2357,1427_MISKnowledgeMap.mtx,2427,2427,57022,0.000,0.014,8.359
2358,0151_ash219.mtx,219,85,438,0.000,0.004,0.216
2359,1008_California.mtx,9664,9664,16150,0.000,0.008,4.124
2360,0480_dwt_492.mtx,492,492,3156,0.000,0.005,1.374
2361,0448_lns_511.mtx,511,511,2796,0.000,0.005,1.148
2362,1501_air04.mtx,823,8904,72965,0.000,0.009,17.096
2363,0317_oscil_dcop_03.mtx,430,430,1544,0.000,0.005,0.654
2364,0335_oscil_dcop_54.mtx,430,430,1544,0.000,0.005,0.655
