index,mtx,m,n,nnz,right-n,pixel_gflops
1452,0002_Trec3.mtx,1,2,1,8,0.003
1453,2673_JP.mtx,87616,67320,13734559,8,98.500
1454,1923_rgg_n_2_15_s0.mtx,32768,32768,320480,8,128.192
1455,2425_neos3.mtx,512209,518832,2055024,8,187.888
1456,0010_ch3-3-b2.mtx,6,18,18,8,0.048
1457,1329_freeFlyingRobot_13.mtx,5718,5718,43994,8,39.106
1458,2134_rajat17.mtx,94294,94294,641159,8,109.133
1459,1349_model4.mtx,1337,4962,45753,8,34.859
1460,2707_af_shell3.mtx,504855,504855,17588875,8,375.730
1461,0748_fpga_trans_02.mtx,1220,1220,7382,8,7.382
1462,2502_bibd_19_9.mtx,171,92378,3325608,8,258.300
1463,2720_rajat31.mtx,4690002,4690002,20316253,8,94.384
1464,1721_bloweya.mtx,30004,30004,150009,8,75.004
1465,1425_ch8-8-b2.mtx,18816,1568,56448,8,82.106
1466,0164_west0167.mtx,167,167,507,8,0.737
1467,1331_Franz5.mtx,7382,2882,44056,8,64.081
1468,0818_G18.mtx,800,800,9388,8,10.014
1469,0968_lp_fit1d.mtx,24,1049,13427,8,8.593
1470,2762_vas_stokes_1M.mtx,1090664,1090664,34767207,8,171.902
1471,2513_ifiss_mat.mtx,96307,96307,3599932,8,278.256
1472,2359_TF18.mtx,95368,123867,1597545,8,59.721
1473,0576_Trefethen_300.mtx,300,300,4678,8,6.237
1474,1955_HEP-th.mtx,27240,27240,342437,8,30.439
1475,1257_deter7.mtx,6375,18153,37131,8,23.764
1476,2363_Zd_Jac2.mtx,22835,22835,1642833,8,257.699
1477,1971_c-65.mtx,48066,48066,360528,8,106.823
1478,0649_fpga_dcop_32.mtx,1220,1220,5892,8,5.892
1479,1563_cis-n4c6-b13.mtx,6300,25605,88200,8,83.012
1480,0282_cz148.mtx,148,148,1527,8,1.879
1481,0526_ck656.mtx,656,656,3884,8,5.649
1482,0531_cis-n4c6-b2.mtx,1330,210,3990,8,7.093
1483,1493_EX3(0).mtx,2600,2600,71760,8,71.760
1484,0059_GlossGT.mtx,72,72,122,8,0.195
1485,2347_nemeth23.mtx,9506,9506,1506810,8,602.724
1486,0487_small.mtx,677,1400,3207,8,4.276
1487,0841_rotor2.mtx,791,791,10685,8,11.397
1488,0105_GD99_b.mtx,64,64,252,8,0.448
1489,0454_Trefethen_200b.mtx,199,199,2873,8,3.536
1490,1406_beaflw.mtx,497,507,53403,8,34.178
1491,0630_jazz.mtx,198,198,5484,8,5.484
1492,0338_oscil_dcop_44.mtx,430,430,1544,8,2.246
1493,1103_sstmodel.mtx,3345,3345,22749,8,25.999
1494,1002_bcsstm37.mtx,25503,25503,15525,8,24.840
1495,0660_fpga_dcop_40.mtx,1220,1220,5892,8,5.892
1496,0502_hangGlider_1.mtx,360,360,3477,8,2.928
1497,0751_GL7d26.mtx,305,2798,7412,8,7.906
1498,0960_bcsstk08.mtx,1074,1074,12960,8,12.960
1499,2610_cont1_l.mtx,1918399,1921596,7031999,8,164.251
1500,1931_EAT_SR.mtx,23219,23219,325589,8,30.287
1501,2322_pli.mtx,22695,22695,1350309,8,273.480
1502,2661_kim2.mtx,456976,456976,11330020,8,412.939
1503,1095_lock_700.mtx,700,700,22175,8,22.175
