index,mtx,m,n,nnz,cusparse,pixel_time,pixel_gflops
2121,2232_pds-80.mtx,129181,434580,927826,0.000,0.192,9.686
2122,1603_rajat27.mtx,20640,20640,99777,0.000,0.007,28.496
2123,0864_adder_dcop_13.mtx,1813,1813,11245,0.000,0.005,4.178
2124,2768_PFlow_742.mtx,742793,742793,37138461,0.000,0.555,133.898
2125,0760_D_10.mtx,460,816,7614,0.000,0.004,3.799
2126,1666_aft01.mtx,8205,8205,125567,0.000,0.004,56.728
2127,0194_rotor1.mtx,100,100,708,0.000,0.004,0.320
2128,0113_GD95_c.mtx,62,62,287,0.000,0.004,0.134
2129,1205_n2c6-b7.mtx,3990,5715,31920,0.000,0.004,15.313
2130,1611_Kemelmacher.mtx,28452,9693,100875,0.000,0.006,36.273
2131,0670_fpga_dcop_38.mtx,1220,1220,5892,0.000,0.005,2.425
2132,2495_3dtube.mtx,45330,45330,3213618,0.000,0.029,220.058
2133,0077_karate.mtx,34,34,156,0.000,0.003,0.090
2134,2288_viscorocks.mtx,37762,37762,1162244,0.000,0.012,192.297
2135,0315_oscil_dcop_37.mtx,430,430,1544,0.000,0.004,0.828
2136,1960_cvxbqp1.mtx,50000,50000,349968,0.000,0.016,42.915
2137,0038_Ragusa18.mtx,23,23,64,0.000,0.003,0.046
2138,2567_ecology1.mtx,1000000,1000000,4996000,0.000,0.184,54.194
2139,2018_ch7-9-b3.mtx,105840,17640,423360,0.000,0.014,62.199
2140,0280_mycielskian7.mtx,95,95,1510,0.000,0.004,0.754
2141,0249_ash608.mtx,608,188,1216,0.000,0.003,0.765
2142,1076_lpi_ceria3d.mtx,3576,4400,21178,0.000,0.006,7.407
2143,1212_Goodwin_010.mtx,1182,1182,32282,0.000,0.005,11.895
2144,0141_ch5-5-b1.mtx,200,25,400,0.000,0.003,0.293
2145,2269_nemsemm1.mtx,3945,75352,1053986,0.000,0.016,133.678
2146,0229_lp_vtp_base.mtx,198,346,1051,0.000,0.005,0.450
2147,2258_pds-90.mtx,142823,475448,1014136,0.000,0.225,9.005
2148,0809_jagmesh9.mtx,1349,1349,9101,0.000,0.004,4.696
2149,0081_bcspwr02.mtx,49,49,167,0.000,0.004,0.089
2150,0314_oscil_dcop_56.mtx,430,430,1544,0.000,0.004,0.800
2151,1767_t60k.mtx,60005,60005,178880,0.000,0.009,37.778
2152,0389_GL6_D_10.mtx,163,341,2053,0.000,0.004,1.024
2153,0963_USpowerGrid.mtx,4941,4941,13188,0.000,0.004,6.356
2154,0005_GL7d10.mtx,1,60,8,0.000,0.003,0.005
2155,1886_chipcool0.mtx,20082,20082,281150,0.000,0.024,23.406
2156,2074_apache1.mtx,80800,80800,542184,0.000,0.015,70.113
2157,1910_waveguide3D.mtx,21036,21036,303468,0.000,0.047,12.897
2158,2652_bmwcra_1.mtx,148770,148770,10644002,0.000,0.161,131.979
2159,2497_Goodwin_095.mtx,100037,100037,3226066,0.000,0.034,188.935
2160,2719_msdoor.mtx,415863,415863,20240935,0.000,0.321,126.007
2161,2655_ohne2.mtx,181343,181343,11063545,0.000,0.356,62.095
2162,0224_gre_185.mtx,185,185,1005,0.000,0.004,0.522
2163,2675_rgg_n_2_20_s0.mtx,1048576,1048576,13783240,0.000,2.650,10.404
2164,0734_rdb1250l.mtx,1250,1250,7300,0.000,0.004,3.777
2165,2409_conf5_4-8x8-05.mtx,49152,49152,1916928,0.000,0.019,205.503
2166,0399_lp_nug06.mtx,372,486,2232,0.000,0.004,1.151
2167,0333_oscil_dcop_55.mtx,430,430,1544,0.000,0.004,0.828
2168,2061_t3dl_a.mtx,20360,20360,509866,0.000,0.012,83.894
