index,mtx,cvt_time,gflops
476,1175_stormg2-8.mtx,,7.56802
477,0124_dwt_66.mtx,,0.101564
478,0119_mesh1em1.mtx,,0.0954722
479,2217_c-71.mtx,,137.54
480,0325_oscil_dcop_08.mtx,,0.463871
481,1974_c-53.mtx,,73.3063
482,1750_f855_mat9_I.mtx,,24.347
483,2415_coAuthorsDBLP.mtx,,146.105
484,2353_sparsine.mtx,,118.026
485,1038_spaceStation_11.mtx,,4.2439
486,1819_jan99jac100.mtx,,53.4151
487,0833_M80PI_n.mtx,,3.04248
488,2704_af_shell1.mtx,,141.633
489,1080_bcsstk34.mtx,,3.90956
490,1629_lp_pds_10.mtx,,28.4162
491,2588_Goodwin_127.mtx,,367.187
492,2605_shipsec8.mtx,,167.189
493,2436_gupta1.mtx,,230.921
494,0739_cavity03.mtx,,1.49802
495,0446_problem1.mtx,,0.812535
496,0436_fs_680_3.mtx,,0.838412
497,2794_Hook_1498.mtx,,144.5
498,1073_lshp3025.mtx,,5.85644
499,2566_ecology2.mtx,,154.251
500,1535_relat7.mtx,,22.7776
501,2296_Maragal_7.mtx,,144.366
502,2802_mawi_201512020000.mtx,,82.3438
503,0039_bcsstm02.mtx,,0.0673876
504,1799_g7jac060sc.mtx,,44.8041
505,2741_CurlCurl_4.mtx,,129.124
506,0072_lp_sc50b.mtx,,0.048146
507,2589_pre2.mtx,,134.098
508,2420_TSC_OPF_1047.mtx,,236.68
509,0949_ch7-6-b2.mtx,,3.83682
510,2805_channel-500x100x100-b050.mtx,,137.044
511,1404_kineticBatchReactor_3.mtx,,12.5052
512,1259_lhr02.mtx,,8.68322
513,1195_freeFlyingRobot_7.mtx,,8.24765
514,2435_144.mtx,,150.733
515,1351_barth(0).mtx,,12.252
516,0375_p0548.mtx,,0.451676
517,0020_ch3-3-b1.mtx,,0.0360202
518,1566_garon1.mtx,,13.914
519,1271_dynamicSoaringProblem_8.mtx,,8.96322
520,2070_c-67b.mtx,,107.829
521,1986_g7jac100.mtx,,77.2813
522,2745_adaptive.mtx,,83.1789
523,0513_bfwa398.mtx,,1.0002
524,1174_fd12.mtx,,8.36189
525,2570_tmt_sym.mtx,,304.868
526,1123_cis-n4c6-b3.mtx,,7.02525
527,0910_adder_dcop_12.mtx,,2.60062
528,2316_Maragal_8.mtx,,117.219
529,0260_impcol_e.mtx,,0.384395
530,2484_roadNet-PA.mtx,,205.972
531,2839_nlpkkt200.mtx,,138.236
532,1215_rajat03.mtx,,9.60184
533,2810_nlpkkt120.mtx,,138.121
534,1496_bibd_14_7.mtx,,18.0469
535,0319_oscil_dcop_27.mtx,,0.477095
536,2828_nlpkkt160.mtx,,138.248
537,0158_lpi_ex72a.mtx,,0.143481
538,1642_g7jac040.mtx,,27.3731
539,0378_lp_capri.mtx,,0.520614
540,1222_poli_large.mtx,,9.09702
541,1290_spaceShuttleEntry_4.mtx,,7.87553
542,0529_young3c.mtx,,1.19892
543,0505_west0989.mtx,,1.06296
544,0234_fs_183_1.mtx,,0.308677
545,0897_adder_dcop_26.mtx,,2.60069
546,0053_lp_afiro.mtx,,0.101736
547,0613_tols2000.mtx,,1.55704
548,2348_nemeth25.mtx,,235.459
549,0785_lp_ship12s.mtx,,2.06189
550,0083_relat4.mtx,,0.0552802
551,2167_pf2177(0).mtx,,92.7017
552,2649_atmosmodm.mtx,,117.017
553,2609_nd6k.mtx,,144.006
554,0165_lesmis.mtx,,0.154715
555,0571_nos7.mtx,,1.34973
556,0337_oscil_dcop_40.mtx,,0.479508
557,0137_olm100.mtx,,0.125993
558,2490_net150.mtx,,231.873
559,2251_cont-300.mtx,,161.649
560,2358_ch7-9-b4.mtx,,201.891
561,2034_rajat15.mtx,,90.1606
562,2118_neos1.mtx,,114.285
563,2267_IG5-17.mtx,,132.245
564,1383_cryg10000.mtx,,14.621
565,2568_wiki-Talk.mtx,,110.585
566,1178_c-22.mtx,,7.03213
567,1641_mark3jac040sc.mtx,,30.3747
568,1276_G10.mtx,,6.42805
569,1490_nopoly.mtx,,19.4823
570,0547_TF12.mtx,,1.16686
571,0073_GD99_c.mtx,,0.0438347
572,1531_lock2232.mtx,,13.8332
573,1927_crystm02.mtx,,61.0704
574,1457_bcsstk14.mtx,,10.6372
575,0210_gre_216b.mtx,,0.268889
576,0449_nemsafm.mtx,,0.738695
577,0303_oscil_dcop_47.mtx,,0.462171
578,1027_ODLIS.mtx,,4.59612
579,1031_bcsstk09.mtx,,4.05331
580,1479_lp22.mtx,,11.3527
581,0252_ch7-6-b1.mtx,,0.393687
582,0516_saylr3.mtx,,1.10406
583,2596_rajat30.mtx,,137.965
584,0761_mahindas.mtx,,2.23074
585,0560_bcsstk02.mtx,,0.804141
586,2656_mycielskian15.mtx,,142.786
587,1132_spaceStation_14.mtx,,5.46192
588,1502_aa01.mtx,,10.4228
589,1945_n4c6-b12.mtx,,72.8842
590,0460_bfwb398.mtx,,0.833127
591,1182_ACTIVSg2000.mtx,,7.58416
592,2617_specular.mtx,,136.87
593,1140_G55.mtx,,7.05006
594,2325_heart1.mtx,,200.599
595,1063_aircraft.mtx,,5.92663
596,0927_Franz3.mtx,,2.86988
597,1785_delaunay_n15.mtx,,50.2997
598,0720_bcsstk19.mtx,,1.82503
599,1335_n3c6-b8.mtx,,10.9905
